Station_Year,Year,Method,Station.Code,Period,Intended.Period,Date,Species.Code,Total.Number,Start.Time,X0.3min..50m,X0.3min..50m.1,X0.3min.flyovers,X3.5min..50m,X3.5min..50m.1,X3.5min.flyovers,X5.10min..50m,X5.10min..50m.1,X5.10min.flyovers,Exclude.Data,Exclude.Reason...Comments,Breeder,X,tagmeth,lat,lon,date,dur,dis,time,offset
BCDS_2012,2012,PC,BCDS,9,9,27-Jul-12,ALFL,2,5:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/27/2012,10,Inf,5:03,0.1829
BCDS_2012,2012,PC,BCDS,9,9,27-Jul-12,BLJA,1,5:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/27/2012,10,Inf,5:03,1.2228
BCDS_2012,2012,PC,BCDS,9,9,27-Jul-12,CEDW,1,5:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/27/2012,10,Inf,5:03,0.6554
BCDS_2012,2012,PC,BCDS,9,9,27-Jul-12,MAWR,1,5:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/27/2012,10,Inf,5:03,0.8615
BCDS_2012,2012,PC,BCDS,9,9,27-Jul-12,RNGR,1,5:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2012,2012,PC,BCDS,9,9,27-Jul-12,SWSP,1,5:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/27/2012,10,Inf,5:03,0.9129
BCDS_2013,2013,PC,BCDS,6,6,28-Jun-13,CANG,40,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Flyover,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,LEFL,3,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/19/2013,10,Inf,4:32,0.2611
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,REVI,3,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/19/2013,10,Inf,4:32,0.2157
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,RNGR,3,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,WTSP,3,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/19/2013,10,Inf,4:32,1.1941
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,ALFL,2,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/19/2013,10,Inf,4:32,0.7645
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,OVEN,2,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/19/2013,10,Inf,4:32,-3.9801
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,RWBL,2,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/19/2013,10,Inf,4:32,1.1473
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,BWHA,1,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,CCSP,1,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/19/2013,10,Inf,4:32,0.7559
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,CEDW,1,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/19/2013,10,Inf,4:32,0.4125
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,SORA,1,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2013,2013,PC,BCDS,5,5,19-Jun-13,SWTH,1,Sunrise,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/19/2013,10,Inf,4:32,0.9264
